,location,industry,experience,skills,salary
142,Астрахань,['Продажи'],не требуется,Грамотная речь Ведение переговоров Телефонные переговоры Поиск и привлечение клиентов Работа в команде,от 35 000 до 60 000 руб. на руки
143,Владимир,"['Продажи', 'Маркетинг, реклама, PR']",не требуется,Мерчандайзинг Блочная выкладка товара Android Ответственность,от 30 000 до 30 000 руб. на руки
144,Белгород,"['Маркетинг, реклама, PR', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,Выкладка товаров Android Блочная выкладка товара Ответственность Мерчандайзинг,до 30 000 руб. на руки
145,Калуга,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",не требуется,Грамотная речь Работа в команде Грамотность Материальная ответственность Безалкогольные напитки Приготовление кофе Кофейные напитки Приготовление чая Работа на баре,от 29 000 до 45 000 руб. на руки
146,Санкт-Петербург,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,Работа в команде Физическая выносливость Умение работать в команде Работа на складе Пользователь ПК Стабильность Работа с ТСД Кладовщик,от 43 000 до 69 000 руб. до вычета налогов
147,Челябинск,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 44 000 до 77 000 руб. на руки
148,Новосибирск,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,1С: Предприятие 8 Первичные документы Работа с большим объемом информации Документальное сопровождение Ведение архива,от 36 000 до 45 000 руб. на руки
149,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,Бухгалтерская отчетность 1С: Зарплата и кадры прохождение аудиторских проверок Расчет налогов Проверка контрагентов Расчет заработной платы Расчет налоговых отчислений иностранным гражданам Главбух кадровый учет Консалтинг,от 90 000 руб. на руки
150,Москва,"['Информационные технологии, интернет, телеком', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR']",1–3 года,Интервьюирование Копирайтинг Грамотность Деловое общение Организация мероприятий Редакторская деятельность Написание статей Написание текстов,от 40 000 до 45 000 руб. на руки
151,Уфа,['Административный персонал'],не требуется,Закупка товаров и услуг Обеспечение жизнедеятельности офиса Организация деловых поездок Управление офисами компании Грамотная речь Знание офисных программ открытие новых офисов Смелость Деловая переписка Деловое общение Поиск информации в интернет Умение работать с большим объемом информации Уверенный пользователь ПК Поиск персонала в открытых источниках Умение изучать Организаторские навыки Работа в команде Деловая коммуникация Документооборот Организация встреч Грамотность Перфекционизм Заключение договоров,от 35 000 до 35 000 руб. на руки
152,Химки,"['Продажи', 'Информационные технологии, интернет, телеком', 'Маркетинг, реклама, PR', 'Консультирование']",1–3 года,MS PowerPoint Аналитическое мышление Статистический анализ Работа с большим объемом информации Прогнозирование,от 90 000 руб. на руки
153,Воронеж,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,до 80 000 руб. до вычета налогов
154,Москва,['Продажи'],1–3 года,Активные продажи CRM Грамотная речь B2C продажи Работа на выставках,от 90 000 до 140 000 руб. на руки
155,Тула,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",1–3 года,,от 120 000 до 120 000 руб. на руки
156,Челябинск,['Продажи'],не требуется,,от 60 000 руб. на руки
157,Москва,['Безопасность'],не требуется,,от 50 000 до 60 000 руб. на руки
158,Новосибирск,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",1–3 года,Управление персоналом Мотивация персонала Организаторские навыки Обучение персонала Подбор персонала,от 45 000 до 65 000 руб. до вычета налогов
159,Москва,"['Административный персонал', 'Продажи']",1–3 года,,от 30 000 руб. на руки
160,Хабаровск,"['Продажи', 'Начало карьеры, студенты']",1–3 года,,от 60 000 руб. до вычета налогов
161,Санкт-Петербург,"['Рабочий персонал', 'Строительство, недвижимость']",не требуется,,от 45 000 руб. на руки
162,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа в команде Грамотная речь Многозадачность,от 30 000 руб. на руки
163,Орёл,['Продажи'],1–3 года,Работа с документами Работа в команде Ведение переговоров Поиск и привлечение клиентов Грамотная речь Холодные звонки Телефонные переговоры Сертификация продукции Сертификация,от 40 000 руб. на руки
164,Москва,['Продажи'],1–3 года,Работа с дебиторской задолженностью Отличное владение ПК работа с текущей базой клиентов Сопровождение клиентов Контроль дебиторской задолженности Документальное сопровождение Документооборот Первичные документы 1С: Торговля,от 60 000 руб. на руки
165,Москва,['Продажи'],не требуется,Холодные продажи Продажа страховых продуктов Заключение договоров Страховая документация Поиск и привлечение клиентов Активные продажи Прямые продажи Телефонные переговоры B2B Продажи,от 60 000 до 120 000 руб. на руки
166,Уфа,['Продажи'],не требуется,,от 26 000 до 36 000 руб. на руки
167,Москва,"['Продажи', 'Начало карьеры, студенты']",3–6 лет,Ответственность Активные продажи Работа на результат,от 65 000 до 120 000 руб. на руки
168,Санкт-Петербург,"['Строительство, недвижимость', 'Производство, сельское хозяйство']",3–6 лет,ЕСКД Разработка проектной документации Проектно-конструкторская деятельность разработка чертежей Проектирование гальваническое оборудование,от 130 000 руб. на руки
169,Санкт-Петербург,['Юристы'],не требуется,Бумажный документооборот Юридическое сопровождение Деловая корреспонденция Банкротство Взыскание задолженности Страховые услуги Претензионная работа Гражданское право Арбитражные суды Юридическая поддержка Гражданское процессуальное право Опыт судебных разбирательств,от 45 000 руб. на руки
170,Санкт-Петербург,"['Информационные технологии, интернет, телеком', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR']",3–6 лет,Написание статей Написание текстов Грамотность Пользователь ПК Грамотная речь,от 40 000 до 45 000 руб. на руки
171,Самара,['Продажи'],не требуется,,от 26 000 до 36 000 руб. на руки
172,Ставрополь,"['Административный персонал', 'Продажи']",не требуется,,от 38 000 руб. до вычета налогов
173,Ростов-на-Дону,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Грамотная речь Обучение персонала Ведение переговоров Управление персоналом,от 30 000 до 100 000 руб. на руки
174,Киров (Кировская область),['Продажи'],1–3 года,Пользователь ПК Работа в команде Грамотная речь Телефонные переговоры Консультирование клиентов по телефону,от 30 000 руб. на руки
175,Москва,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",1–3 года,Администраторы Многозадачность,от 40 000 до 50 000 руб. на руки
176,Волжский,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Пользователь ПК Работа в команде Грамотная речь Умение работать в команде Телефонные переговоры,от 24 000 руб. на руки
177,Москва,['Продажи'],1–3 года,Деловая переписка Заключение договоров B2B Продажи CRM Ведение переговоров Навыки продаж Пользователь ПК Телефонные переговоры Деловое общение Подготовка коммерческих предложений Ведение клиентской базы,от 65 000 до 200 000 руб. на руки
178,Санкт-Петербург,['Продажи'],не требуется,Сопровождение клиентов Клиентоориентированность Деловое общение Ведение переговоров Навыки продаж Работа в команде Сопровождение сделок Планирование карьеры Жилая недвижимость,от 120 000 руб. на руки
179,Владивосток,['Продажи'],не требуется,Ведение переговоров Работа в команде Грамотная речь Телефонные переговоры Активные продажи Навыки продаж,от 50 000 до 150 000 руб. на руки
180,Тула,"['Маркетинг, реклама, PR', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,Выкладка товаров Android Блочная выкладка товара Ответственность Мерчандайзинг,до 30 000 руб. на руки
181,Краснодар,"['Продажи', 'Начало карьеры, студенты']",1–3 года,,от 45 000 руб. на руки
182,Санкт-Петербург,['Продажи'],1–3 года,CRM Телефонные переговоры Прямые продажи Навыки продаж Публичные выступления Активные продажи Навыки презентации B2B Продажи B2C продажи теплые звонки Телемаркетинг Грамотная речь Работа с возражениями Деловая переписка,от 50 000 до 85 000 руб. на руки
183,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,Linux Python Bash PostgreSQL Zabbix Grafana DevOps Kubernetes,до 300 000 руб. до вычета налогов
184,Иркутск,['Продажи'],1–3 года,Грамотная речь Телефонные переговоры Ведение переговоров Работа в команде Поиск и привлечение клиентов,от 50 000 до 100 000 руб. на руки
185,Краснодар,"['Информационные технологии, интернет, телеком']",1–3 года,Английский — A2 — Элементарный Информационная безопасность Linux Средства защиты от несанкционированного доступа Bash DLP Антивирусная защита сети Защита информации,от 80 000 до 92 000 руб. до вычета налогов
186,Ростов-на-Дону,"['Банки, инвестиции, лизинг', 'Продажи', 'Высший менеджмент']",1–3 года,Грамотная речь Активные продажи Телефонные переговоры Работа в команде Ориентация на результат Клиентоориентированность Навыки презентации Ведение клиентской базы исходящие звонки Теплые звонки B2B Продажи СРМ телефонные продажи переговоры с первыми лицами компаний Аналитика продаж Управление продажами Развитие продаж ЛВР ЛПР,от 60 000 руб. на руки
187,Екатеринбург,"['Управление персоналом, тренинги']",3–6 лет,Адаптация персонала Корпоративная культура Оценка персонала Обучение и развитие Подбор персонала Исследования рынка труда Мотивация персонала Управление HR брендом,от 50 000 до 70 000 руб. на руки
188,Санкт-Петербург,['Продажи'],1–3 года,Ведение переговоров Поиск и привлечение клиентов Телефонные переговоры проведение переговоров с первыми лицами компании Ведение переписки Навыки продаж Деловое общение Активные продажи Проведение презентаций Корпоративные продажи Продажа дополнительных услуг и оборудования Навыки телефонных продаж Продажи юридическим лицам Навыки работы с возражениями Ведение активных клиентов B2C продажи Работа с существующей базой клиентов,от 50 000 до 120 000 руб. до вычета налогов
189,Москва,['Продажи'],не требуется,Телефонные переговоры Грамотная речь Навыки продаж Работа в команде Навыки переговоров Умение работать в команде Навыки телефонных продаж Ведение переговоров,от 110 000 до 350 000 руб. на руки
190,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Экономический анализ Аналитическое мышление 1С: Комплексная автоматизация MS Access 1C: Финансы,от 160 000 руб. на руки
191,Москва,['Юристы'],не требуется,Грамотная речь Деловое общение Работа с клиентами Ориентация на результат работа с физическими лицами Деловая этика Точность и внимательность к деталям Грамотная устная и письменная речь Обучение и развитие Умение слушать Переговоры Умение находить общий язык с людьми Желание учиться и развиваться Знание законодательства РФ,от 150 000 руб. на руки
192,Москва,"['Продажи', 'Информационные технологии, интернет, телеком', 'Маркетинг, реклама, PR', 'Консультирование']",1–3 года,SQL Tableau Python,до 150 000 руб. до вычета налогов
193,Ростов-на-Дону,"['Производство, сельское хозяйство', 'Информационные технологии, интернет, телеком', 'Рабочий персонал']",3–6 лет,"Умение написания программ,",от 65 000 до 85 000 руб. до вычета налогов
194,Екатеринбург,['Продажи'],не требуется,Холодные продажи Активные продажи Телефонные переговоры Поиск и привлечение клиентов,от 50 000 руб. на руки
195,Домодедово,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,Банк-клиент Кадровое делопроизводство 1С: Предприятие 8 1С: Бухгалтерия Бухгалтерская отчетность 1С: Зарплата и управление персоналом 1С: Зарплата и кадры Бухгалтерский учет 1С: Производство,от 90 000 руб. до вычета налогов
196,Москва,"['Транспорт, логистика']",3–6 лет,"Водительское удостоверение категории B Автомобильные перевозки Drawing Вождение автомобилей представительского класса Вождение автомобилей эконом, комфорт и комфорт плюс класса",от 90 000 до 135 000 руб. на руки
197,Вологда,"['Безопасность', 'Банки, инвестиции, лизинг']",1–3 года,,от 49 000 руб. до вычета налогов
198,Самара,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Пользователь ПК Ведение переговоров Телефонные переговоры Грамотная речь Деловое общение Поиск и привлечение клиентов Жилая недвижимость Консультирование клиентов по телефону Ведение переписки Подбор недвижимости по запросу клиента Первичная недвижимость Вторичная недвижимость продажа недвижимости,от 40 000 до 150 000 руб. до вычета налогов
199,Санкт-Петербург,['Продажи'],1–3 года,Составление договоров Подготовка коммерческих предложений Пользователь ПК Телефонные переговоры B2B Продажи Уверенный пользователь ПК Навыки переговоров Exсel Ведение активных клиентов Деловая коммуникация Проведение презентаций Ведение переписки Подготовка презентаций Деловая этика Организация встреч Заключение договоров Деловое общение Ведение переговоров Навыки презентации Работа с партнерами Составление презентаций B2C продажи Деловые переговоры Умение слушать Работа с дебиторской задолженностью,от 60 000 до 280 000 руб. на руки
200,Ростов-на-Дону,['Продажи'],не требуется,Мотивация персонала Активные продажи Управление продажами Развитие продаж Обучение и развитие,от 30 000 до 90 000 руб. до вычета налогов
201,Москва,"['Спортивные клубы, фитнес, салоны красоты']",1–3 года,Работа в команде Грамотная речь Активные продажи Навыки продаж Фитнес Высокие коммуникативные навыки Персональные тренировки Тренировочные программы Силовые тренировки Умение работать с клиентами,от 110 000 до 250 000 руб. до вычета налогов
202,Тула,['Продажи'],1–3 года,B2B Продажи Активные продажи Ведение переговоров Развитие продаж Планирование продаж B2C продажи Развитие ключевых клиентов Навыки продаж Работа в команде Телефонные переговоры,от 40 000 до 80 000 руб. до вычета налогов
203,Нижний Новгород,['Продажи'],1–3 года,Коммуникабельность Активные продажи Сопровождение клиентов Деловая коммуникация Обучение и развитие Деловая переписка Подготовка коммерческих предложений Привлечение клиентов,от 45 000 до 80 000 руб. на руки
204,Москва,['Продажи'],1–3 года,Ведение переговоров Заключение договоров Активные продажи Работа с возражениями Телефонные переговоры Деловая переписка Работа в команде Навыки презентации Проведение презентаций Прямые продажи B2B Продажи,от 120 000 до 300 000 руб. на руки
205,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Работа в команде Грамотная речь Взыскание задолженности Телефонные переговоры Ведение переговоров исполнительное производство,от 66 700 до 66 700 руб. до вычета налогов
206,Санкт-Петербург,['Продажи'],1–3 года,Активные продажи B2B Продажи Поиск и привлечение клиентов Работа с возражениями Клиентоориентированность Развитие ключевых клиентов Ведение клиентской базы Умение работать в коллективе Ориентация на результат Навыки продаж,от 90 000 руб. на руки
207,Москва,['Продажи'],не требуется,Активные продажи Навыки работы с возражениями Холодные продажи Телефонные переговоры Навыки продаж Деловое общение amoCRM,от 70 000 до 150 000 руб. на руки
208,Мытищи,"['Продажи', 'Начало карьеры, студенты']",3–6 лет,Пользователь ПК Работа в команде Грамотная речь Проведение инвентаризаций Активные продажи,от 40 000 до 70 000 руб. до вычета налогов
209,Волгодонск,"['Строительство, недвижимость', 'Управление персоналом, тренинги', 'Административный персонал']",не требуется,Пользователь ПК Работа в команде Консультирование клиентов по телефону входящие звонки Грамотная речь,от 22 000 руб. на руки
210,Москва,['Продажи'],1–3 года,Активные продажи Прямые продажи Работа в команде Грамотная речь B2B Продажи Знание техники продаж CRM работа с текущей базой клиентов,от 120 000 до 160 000 руб. на руки
211,Москва,['Продажи'],не требуется,Консультирование клиентов Ведение переговоров Телефонные переговоры B2B Продажи Подготовка коммерческих предложений,от 50 000 до 100 000 руб. на руки
212,Ревда,"['Производство, сельское хозяйство']",1–3 года,Excel Массовое производство Ответственность Производство ЛКМ,от 60 000 руб. на руки
213,Смоленск,"['Продажи', 'Маркетинг, реклама, PR']",не требуется,Выкладка товаров Грамотная речь Блочная выкладка товара Android Мерчандайзинг,от 30 000 до 30 000 руб. на руки
214,Нижний Новгород,"['Транспорт, логистика']",1–3 года,Пользователь ПК Грамотная речь Работа в команде Грамотность Деловое общение Организаторские навыки Телефонные переговоры Умение работать в команде Внимательность,от 40 000 руб. на руки
215,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Грамотная речь Работа в команде Навыки продаж Ориентация на результат Умение работать в команде,от 75 000 до 150 000 руб. на руки
216,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,1С: Управление Торговлей 1С: Предприятие 8 Электронный документооборот Электронная почта Работа с оргтехникой,от 60 000 руб. до вычета налогов
217,Санкт-Петербург,"['Информационные технологии, интернет, телеком']",3–6 лет,Linux Git Bash Английский язык Mikrotik,от 90 000 руб. до вычета налогов
218,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,ETL SQL Работа с базами данных,от 170 000 до 200 000 руб. на руки
219,Екатеринбург,"['Административный персонал', 'Продажи']",не требуется,,от 38 000 руб. до вычета налогов
220,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,Linux Git Java Spring Framework JMeter Apache Kafka Kubernetes Docker,от 200 000 до 430 000 руб. до вычета налогов
221,Казань,['Продажи'],не требуется,Грамотная речь Активные продажи Деловое общение MS PowerPoint Грамотность Поиск и привлечение клиентов,от 50 000 до 300 000 руб. на руки
222,Новосибирск,['Продажи'],1–3 года,Холодные продажи B2B Продажи Подготовка коммерческих предложений Составление договоров Активные продажи Деловое общение Работа в команде Контроль дебиторской задолженности Поиск и привлечение клиентов Телефонные переговоры Пользователь ПК,от 35 000 руб. на руки
223,Нижний Тагил,['Продажи'],не требуется,B2B Продажи Ведение переговоров Деловая коммуникация Активные продажи Заключение договоров Работа в команде Холодные продажи Деловое общение,от 50 000 руб. на руки
224,Нижний Новгород,['Продажи'],1–3 года,B2B Продажи Холодные продажи Проведение переговоров Активные продажи Поиск и привлечение клиентов,от 80 000 до 150 000 руб. до вычета налогов
225,Москва,['Продажи'],не требуется,,от 70 000 до 250 000 руб. до вычета налогов
226,Москва,"['Туризм, гостиницы, рестораны']",1–3 года,Работа в команде Общественное питание Контроль сроков годности Умение работать в команде,от 64 500 до 92 000 руб. до вычета налогов
227,Москва,"['Информационные технологии, интернет, телеком']",более 6 лет,PostgreSQL MySQL ООП Golang Разработка технических заданий PHP Умение слушать Умение объяснять Системное мышление,от 350 000 до 1 000 000 руб. на руки
228,Уфа,['Продажи'],не требуется,Грамотная речь Консультирование клиентов по телефону Работа с возражениями Активные продажи исходящие звонки,от 30 000 до 60 000 руб. на руки
229,Санкт-Петербург,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",1–3 года,CRM Грамотная речь Телефонные переговоры Активные продажи Проведение переговоров,от 80 000 до 120 000 руб. на руки
230,Москва,['Продажи'],1–3 года,Прямые продажи Ведение переговоров Ведение активных клиентов Холодные звонки B2B Продажи Активные продажи работа с текущей базой клиентов,от 80 000 руб. на руки
231,Волгоград,"['Административный персонал', 'Продажи']",1–3 года,,от 47 000 руб. до вычета налогов
232,Казань,"['Административный персонал', 'Продажи']",не требуется,,от 35 000 руб. до вычета налогов
233,Томск,"['Банки, инвестиции, лизинг']",не требуется,Грамотная речь Деловое общение Пользователь ПК Работа в команде,от 35 000 руб. на руки
234,Москва,['Продажи'],не требуется,,от 60 000 до 200 000 руб. на руки
235,Евпатория,"['Бухгалтерия, управленческий учет, финансы предприятия']",более 6 лет,1С: Комплексная автоматизация 1C: Предприятие Высшее образование Работа в условиях многозадачности Умение работать в условиях многозадачности,от 100 000 до 150 000 руб. до вычета налогов
236,Саратов,"['Административный персонал', 'Продажи']",не требуется,Активные продажи Консультирование клиентов по телефону телефонные продажи Телефонные переговоры,от 50 000 до 100 000 руб. на руки
237,Санкт-Петербург,['Продажи'],1–3 года,,от 40 300 руб. до вычета налогов
238,Великий Новгород,"['Строительство, недвижимость', 'Рабочий персонал']",1–3 года,Сварочные работы Расстановка приоритетов Многозадачность,от 50 000 до 70 000 руб. на руки
239,Красноярск,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Работа в команде Грамотная речь Клиентоориентированность Ориентация на клиента Опыт продаж Работа с клиентами Мерчандайзинг Активные продажи,от 30 000 до 120 000 руб. до вычета налогов
240,Москва,"['Маркетинг, реклама, PR']",3–6 лет,Интернет-реклама Анализ конкурентной среды Веб-аналитика Яндекс.Метрика Google Analytics Разработка маркетинговой стратегии Планирование рекламных кампаний Аналитическое мышление Анализ данных Социальные сети Аналитика Таргетинг Лидогенерация MyTarget,до 100 000 руб. на руки
241,Ростов-на-Дону,"['Продажи', 'Начало карьеры, студенты']",не требуется,Коммуникабельность энергичность Работоспособность Доброжелательность Активные продажи Работа в команде Мерчандайзинг Ориентация на результат Розничная торговля Навыки продаж Работа с людьми Продажи Консультирование,от 32 000 руб. на руки
242,Воронеж,"['Информационные технологии, интернет, телеком']",1–3 года,Python PostgreSQL Git Linux ML Flask,от 120 000 до 160 000 руб. до вычета налогов
243,Казань,"['Административный персонал', 'Продажи']",не требуется,,от 36 900 руб. до вычета налогов
244,Уфа,"['Административный персонал', 'Продажи']",не требуется,,от 33 000 руб. до вычета налогов
245,Москва,"['Продажи', 'Информационные технологии, интернет, телеком', 'Маркетинг, реклама, PR', 'Консультирование']",1–3 года,1С: Управление Торговлей Бизнес-анализ Аналитическое мышление,от 120 000 до 150 000 руб. на руки
246,Москва,['Продажи'],1–3 года,Учет товаров Розничная торговля Управление персоналом Организаторские навыки Торговля,от 52 000 до 55 000 руб. до вычета налогов
247,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Английский — B2 — Средне-продвинутый Клиентоориентированность Консультативные продажи,до 120 000 руб. на руки
248,Уфа,"['Информационные технологии, интернет, телеком', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR']",3–6 лет,Adobe After Effect Adobe Photoshop Видеомонтаж Cinema 4D Adobe After Effects Illustrator Adobe Adobe Premiere Adobe Illustrator 3D-графика Анимация Инфографика 3D,от 25 000 до 35 000 руб. до вычета налогов
249,Череповец,['Продажи'],3–6 лет,,от 140 000 руб. на руки
250,посёлок Шушары,"['Транспорт, логистика']",1–3 года,Складской Учет аккуратность Ответственность Материальная ответственность Вождение ричтрака,от 65 000 до 75 000 руб. на руки
251,Череповец,"['Административный персонал', 'Продажи']",не требуется,Пользователь ПК Грамотная речь Удаленная работа Телефонные переговоры Работа с клиентами,до 22 000 руб. до вычета налогов
252,Санкт-Петербург,['Продажи'],1–3 года,Английский — A1 — Начальный Поиск и привлечение клиентов Клиентоориентированность Телефонные переговоры Грамотная речь Деловая коммуникация Ведение переговоров Деловое общение Коммуникабельность Работа в команде,от 45 000 до 150 000 руб. на руки
253,Королёв,['Юристы'],3–6 лет,Претензионная работа Договорная работа Арбитражные суды Гражданское право Суды общей юрисдикции,от 70 000 до 70 000 руб. на руки
254,село Орудьево,['Продажи'],1–3 года,Заключение договоров Ведение переговоров Телефонные переговоры Грамотная речь Контроль дебиторской задолженности Деловое общение Деловая переписка Подготовка коммерческих предложений Уверенный пользователь ПК Выставление счетов Способность быстро обучаться Ведение клиентской базы,от 40 000 до 70 000 руб. на руки
255,Северск (Томская область),"['Банки, инвестиции, лизинг']",не требуется,Грамотная речь Деловое общение Пользователь ПК Работа в команде,от 35 000 руб. на руки
256,Воронеж,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Удаленная работа Продажи Навыки работы с возражениями Желание зарабатывать,от 50 000 до 100 000 руб. на руки
257,Химки,"['Продажи', 'Начало карьеры, студенты']",не требуется,Активные продажи Работа в команде Консультирование Работа с кассой Обслуживание покупателей Грамотная речь Клиентоориентированность Розничная торговля Контроль сроков годности,от 45 000 до 55 000 руб. до вычета налогов
258,Тюмень,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Активные продажи Прямые продажи Работа в команде Организаторские навыки Пользователь ПК,от 50 000 до 80 000 руб. до вычета налогов
259,Ростов-на-Дону,['Продажи'],не требуется,,от 42 000 руб. на руки
