,location,industry,experience,skills,salary
348,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Грамотная речь Активные продажи Деловое общение Навыки продаж Работа в команде Активное слушание Рефлексия Консультирование Деловая коммуникация Организация мероприятий Клиентоориентированность CRM Грамотность,от 100 000 до 200 000 руб. на руки
349,Челябинск,"['Управление персоналом, тренинги']",1–3 года,,от 29 000 руб. до вычета налогов
350,посёлок Свень-Транспортная,"['Производство, сельское хозяйство', 'Медицина, фармацевтика']",1–3 года,Лабораторная работа Химические методы анализа Научные исследования Технология производства Технический перевод Аналитические исследования Научная деятельность Контроль качества Пользователь ПК Разработка нового продукта Строительство Управление качеством,от 35 000 руб. на руки
351,Москва,"['Продажи', 'Начало карьеры, студенты']",1–3 года,,от 60 000 до 90 000 руб. на руки
352,Уфа,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Пользователь ПК Работа в команде Английский язык запись звука видеозапись звукооператор Adobe Premiere Pro Zoom H6,от 25 000 до 35 000 руб. на руки
353,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Грамотная речь Прямые продажи Работа в команде Активные продажи Навыки продаж,от 55 000 до 70 000 руб. на руки
354,Москва,"['Высший менеджмент', 'Продажи']",более 6 лет,Малоэтажное строительство Ведение переговоров CRM Поиск и привлечение клиентов Управление продажами Коттеджное строительство дачное строительство ИЖС Работа с возражениями Аналитическое мышление Контроль исполнения решений Лидерство Мотивация Системное мышление Развитие продаж Ориентация на результат Проведение презентаций Планирование продаж Навыки презентации Сопровождение строительства Управленческие навыки Организаторские навыки Харизма Загородная недвижимость Продажи Анализ бизнес показателей Выявление потребностей Строительно-отделочные материалы Выбор подрядных организаций контроль выполнения строительных работ,от 250 000 до 500 000 руб. на руки
355,Екатеринбург,"['Продажи', 'Начало карьеры, студенты']",не требуется,Навыки продаж Грамотная речь Консультативные продажи Консультирование Прямые продажи,от 40 000 до 80 000 руб. на руки
356,Москва,"['Строительство, недвижимость', 'Производство, сельское хозяйство']",3–6 лет,Работа с проектной документацией Организация работы отдела,от 80 000 до 140 000 руб. до вычета налогов
357,Екатеринбург,"['Информационные технологии, интернет, телеком']",3–6 лет,JavaScript MySQL Yii Laravel Docker Docker Compose HTML CSS PHP7 ООП Node.js Dart Работа в команде,от 100 000 до 150 000 руб. на руки
358,Курск,"['Добыча сырья', 'Строительство, недвижимость', 'Транспорт, логистика', 'Рабочий персонал']",1–3 года,,от 44 500 до 110 000 руб. до вычета налогов
359,Санкт-Петербург,['Продажи'],не требуется,,от 60 000 до 150 000 руб. на руки
360,Самара,['Продажи'],не требуется,,от 45 000 руб. до вычета налогов
361,Краснодар,['Продажи'],не требуется,,от 100 000 до 300 000 руб. на руки
362,Челябинск,"['Административный персонал', 'Продажи']",не требуется,,от 32 500 руб. до вычета налогов
363,Колпино,['Продажи'],1–3 года,Клиентоориентированность Консультирование клиентов Активные продажи Сопровождение клиентов Работа в команде,от 62 300 руб. до вычета налогов
364,Москва,"['Информационные технологии, интернет, телеком']",не требуется,SQL Git Atlassian Jira Linux Java QA,от 200 000 руб. до вычета налогов
